Country Code,City,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
162,73,1100,1,0,0,3,4.8,0,1,314
162,73,1200,1,0,0,3,4.5,0,1,591
162,75,4000,1,0,0,4,4.4,1,5,270
162,75,1500,0,0,0,4,4.9,0,1,365
162,75,1500,1,0,0,4,4.8,0,1,229
162,75,1000,0,0,0,3,4.4,1,5,336
162,93,2000,1,0,0,4,4.0,1,5,520
162,93,2000,1,0,0,4,4.2,1,5,677
162,93,6000,1,0,0,4,4.9,0,1,621
162,94,1100,1,0,0,3,4.8,0,1,532
162,94,800,0,0,0,3,4.9,0,1,1070
162,94,900,1,0,0,3,4.2,1,5,488
162,106,800,0,0,0,3,4.8,0,1,294
162,111,1000,1,0,0,3,4.2,1,5,458
162,111,700,0,0,0,3,4.3,1,5,223
162,113,800,0,0,0,3,3.6,5,2,29
162,113,850,0,0,0,3,4.0,1,5,72
162,121,1200,1,0,0,3,4.5,0,1,211
162,122,600,0,0,0,2,4.5,0,1,118
162,122,1500,1,0,0,4,4.4,1,5,392
162,122,3000,1,0,0,4,4.7,0,1,535
162,122,1800,1,0,0,4,4.5,0,1,618
30,21,55,0,0,0,2,3.0,2,0,6
30,21,30,0,0,0,1,3.8,5,2,9
30,21,45,0,0,0,2,3.7,5,2,11
30,21,60,0,0,0,3,3.8,5,2,11
30,21,50,0,0,0,2,3.2,2,0,11
30,21,80,0,0,0,3,3.1,2,0,10
30,21,90,0,0,0,3,3.7,5,2,8
30,21,200,0,0,0,4,3.7,5,2,5
30,21,30,0,0,0,1,0.0,4,3,2
30,21,150,0,0,0,4,4.1,1,5,12
30,21,100,0,0,0,4,3.1,2,0,9
30,21,60,0,0,0,3,3.6,5,2,9
30,21,100,0,0,0,4,4.3,1,5,29
30,21,230,0,0,0,4,4.2,1,5,17
30,21,100,0,0,0,4,3.6,5,2,5
30,21,150,0,0,0,4,4.0,1,5,10
30,21,240,0,0,0,4,3.2,2,0,6
30,21,230,0,0,0,4,4.9,0,1,30
30,21,350,0,0,0,4,3.3,2,0,8
30,21,50,0,0,0,2,3.6,5,2,9
30,110,140,0,0,0,4,4.0,1,5,7
30,110,100,0,0,0,4,4.8,0,1,29
30,110,60,0,0,0,3,4.7,0,1,24
30,110,90,0,0,0,3,4.5,0,1,29
30,110,170,0,0,0,4,4.2,1,5,11
30,110,60,0,0,0,3,4.8,0,1,19
30,110,100,0,0,0,4,4.9,0,1,40
30,110,90,0,0,0,3,4.6,0,1,21
30,110,120,0,0,0,4,4.9,0,1,49
30,110,170,0,0,0,4,4.6,0,1,21
30,110,90,0,0,0,3,4.3,1,5,14
30,110,150,0,0,0,4,4.0,1,5,5
30,110,250,0,0,0,4,4.6,0,1,25
30,110,120,0,0,0,4,4.4,1,5,13
30,110,40,0,0,0,2,4.2,1,5,7
30,110,250,0,0,0,4,4.2,1,5,8
30,110,70,0,0,0,3,0.0,4,3,1
30,110,300,0,0,0,4,4.7,0,1,44
30,110,85,0,0,0,3,4.6,0,1,24
30,110,80,0,0,0,3,4.3,1,5,10
30,120,250,0,0,0,4,4.5,0,1,49
30,120,250,0,0,0,4,4.4,1,5,17
30,120,70,0,0,0,3,3.1,2,0,5
30,120,100,0,0,0,4,4.1,1,5,15
30,120,300,0,0,0,4,4.8,0,1,59
30,120,120,0,0,0,4,4.6,0,1,30
30,120,75,0,0,0,3,3.9,5,2,5
30,120,55,0,0,0,2,0.0,4,3,0
30,120,200,0,0,0,4,3.4,2,0,73
30,120,120,0,0,0,4,3.5,5,2,9
30,120,300,0,0,0,4,4.3,1,5,39
30,120,230,0,0,0,4,3.9,5,2,12
30,120,120,0,0,0,4,4.3,1,5,68
30,120,150,0,0,0,4,4.3,1,5,46
30,120,400,0,0,0,4,4.4,1,5,37
30,120,65,0,0,0,3,0.0,4,3,2
30,120,50,0,0,0,2,0.0,4,3,2
30,120,100,0,0,0,4,4.4,1,5,22
30,120,70,0,0,0,3,4.6,0,1,58
30,120,120,0,0,0,4,4.1,1,5,11
216,3,25,0,0,0,2,3.3,2,0,35
216,3,10,0,0,0,1,3.3,2,0,25
216,3,0,0,0,0,1,3.4,2,0,45
216,3,10,0,0,0,1,3.4,2,0,26
216,3,10,0,0,0,1,3.5,5,2,67
216,3,10,0,0,0,1,3.9,5,2,141
216,3,25,0,0,0,2,3.7,5,2,147
216,3,70,0,0,0,4,3.5,5,2,51
216,3,25,0,0,0,2,3.6,5,2,88
216,3,10,0,0,0,1,3.8,5,2,153
216,3,25,0,0,0,2,3.5,5,2,57
216,3,25,0,0,0,2,3.5,5,2,58
216,3,40,0,0,0,3,3.6,5,2,115
216,3,40,0,0,0,3,3.5,5,2,51
216,3,40,0,0,0,3,3.8,5,2,250
216,3,10,0,0,0,1,3.7,5,2,117
216,3,10,0,0,0,1,3.4,2,0,20
14,7,20,0,0,0,2,3.5,5,2,25
216,8,40,0,0,0,3,4.5,0,1,1821
216,8,10,0,0,0,1,4.5,0,1,849
216,8,10,0,0,0,1,4.6,0,1,917
216,8,10,0,0,0,1,3.9,5,2,439
216,8,10,0,0,0,1,3.7,5,2,289
